Sensor,DateTime_US_Pacific,Ipm25,Lat,Lon
SCTV_01,9/3/2020 17:00,60,33.720638,-117.416614
SCTV_01,9/3/2020 17:15,60,33.720638,-117.416614
SCTV_01,9/3/2020 17:30,60,33.720638,-117.416614
SCTV_01,9/3/2020 17:45,61,33.720638,-117.416614
SCTV_01,9/3/2020 18:00,61,33.720638,-117.416614
SCTV_01,9/3/2020 18:15,61,33.720638,-117.416614
SCTV_01,9/3/2020 18:30,61,33.720638,-117.416614
SCTV_01,9/3/2020 18:45,61,33.720638,-117.416614
SCTV_01,9/3/2020 19:00,61,33.720638,-117.416614
SCTV_01,9/3/2020 19:15,61,33.720638,-117.416614
SCTV_01,9/3/2020 19:30,61,33.720638,-117.416614
SCTV_01,9/3/2020 19:45,62,33.720638,-117.416614
SCTV_01,9/3/2020 20:00,62,33.720638,-117.416614
SCTV_01,9/3/2020 20:15,62,33.720638,-117.416614
SCTV_01,9/3/2020 20:30,62,33.720638,-117.416614
SCTV_01,9/3/2020 20:45,62,33.720638,-117.416614
SCTV_01,9/3/2020 21:00,62,33.720638,-117.416614
SCTV_01,9/3/2020 21:15,62,33.720638,-117.416614
SCTV_01,9/3/2020 21:30,62,33.720638,-117.416614
SCTV_01,9/3/2020 21:45,62,33.720638,-117.416614
SCTV_01,9/3/2020 22:00,62,33.720638,-117.416614
SCTV_01,9/3/2020 22:15,62,33.720638,-117.416614
SCTV_01,9/3/2020 22:30,62,33.720638,-117.416614
SCTV_01,9/3/2020 22:45,62,33.720638,-117.416614
SCTV_01,9/3/2020 23:00,62,33.720638,-117.416614
SCTV_01,9/3/2020 23:15,62,33.720638,-117.416614
SCTV_01,9/3/2020 23:30,62,33.720638,-117.416614
SCTV_01,9/3/2020 23:45,62,33.720638,-117.416614
SCTV_01,9/4/2020 0:00,62,33.720638,-117.416614
SCTV_01,9/4/2020 0:15,62,33.720638,-117.416614
SCTV_01,9/4/2020 0:30,62,33.720638,-117.416614
SCTV_01,9/4/2020 0:45,62,33.720638,-117.416614
SCTV_01,9/4/2020 1:00,62,33.720638,-117.416614
SCTV_01,9/4/2020 1:15,62,33.720638,-117.416614
SCTV_01,9/4/2020 1:30,63,33.720638,-117.416614
SCTV_01,9/4/2020 1:45,63,33.720638,-117.416614
SCTV_01,9/4/2020 2:00,63,33.720638,-117.416614
SCTV_01,9/4/2020 2:15,63,33.720638,-117.416614
SCTV_01,9/4/2020 2:30,63,33.720638,-117.416614
SCTV_01,9/4/2020 2:45,63,33.720638,-117.416614
SCTV_01,9/4/2020 3:00,63,33.720638,-117.416614
SCTV_01,9/4/2020 3:15,63,33.720638,-117.416614
SCTV_01,9/4/2020 3:30,63,33.720638,-117.416614
SCTV_01,9/4/2020 3:45,63,33.720638,-117.416614
SCTV_01,9/4/2020 4:00,63,33.720638,-117.416614
SCTV_01,9/4/2020 4:15,63,33.720638,-117.416614
SCTV_01,9/4/2020 4:30,63,33.720638,-117.416614
SCTV_01,9/4/2020 4:45,64,33.720638,-117.416614
SCTV_01,9/4/2020 5:00,64,33.720638,-117.416614
SCTV_01,9/4/2020 5:15,64,33.720638,-117.416614
SCTV_01,9/4/2020 5:30,64,33.720638,-117.416614
SCTV_01,9/4/2020 5:45,64,33.720638,-117.416614
SCTV_01,9/4/2020 6:00,64,33.720638,-117.416614
SCTV_01,9/4/2020 6:15,64,33.720638,-117.416614
SCTV_01,9/4/2020 6:30,64,33.720638,-117.416614
SCTV_01,9/4/2020 6:45,64,33.720638,-117.416614
SCTV_01,9/4/2020 7:00,64,33.720638,-117.416614
SCTV_01,9/4/2020 7:15,64,33.720638,-117.416614
SCTV_01,9/4/2020 7:30,64,33.720638,-117.416614
SCTV_01,9/4/2020 7:45,64,33.720638,-117.416614
SCTV_01,9/4/2020 8:00,64,33.720638,-117.416614
SCTV_01,9/4/2020 8:15,64,33.720638,-117.416614
SCTV_01,9/4/2020 8:30,64,33.720638,-117.416614
SCTV_01,9/4/2020 8:45,65,33.720638,-117.416614
SCTV_01,9/4/2020 9:00,65,33.720638,-117.416614
SCTV_01,9/4/2020 9:15,65,33.720638,-117.416614
SCTV_01,9/4/2020 9:30,65,33.720638,-117.416614
SCTV_01,9/4/2020 9:45,65,33.720638,-117.416614
SCTV_01,9/4/2020 10:00,65,33.720638,-117.416614
SCTV_01,9/4/2020 10:15,65,33.720638,-117.416614
SCTV_01,9/4/2020 10:30,65,33.720638,-117.416614
SCTV_01,9/4/2020 10:45,65,33.720638,-117.416614
SCTV_01,9/4/2020 11:00,65,33.720638,-117.416614
SCTV_01,9/4/2020 11:15,66,33.720638,-117.416614
SCTV_01,9/4/2020 11:30,66,33.720638,-117.416614
SCTV_01,9/4/2020 11:45,66,33.720638,-117.416614
SCTV_01,9/4/2020 12:00,66,33.720638,-117.416614
SCTV_01,9/4/2020 12:15,66,33.720638,-117.416614
SCTV_01,9/4/2020 12:30,66,33.720638,-117.416614
SCTV_01,9/4/2020 12:45,66,33.720638,-117.416614
SCTV_01,9/4/2020 13:00,66,33.720638,-117.416614
SCTV_01,9/4/2020 13:15,67,33.720638,-117.416614
SCTV_01,9/4/2020 13:30,67,33.720638,-117.416614
SCTV_01,9/4/2020 13:45,67,33.720638,-117.416614
SCTV_01,9/4/2020 14:00,67,33.720638,-117.416614
SCTV_01,9/4/2020 14:15,67,33.720638,-117.416614
SCTV_01,9/4/2020 14:30,67,33.720638,-117.416614
SCTV_01,9/4/2020 14:45,67,33.720638,-117.416614
SCTV_01,9/4/2020 15:00,67,33.720638,-117.416614
SCTV_01,9/4/2020 15:15,67,33.720638,-117.416614
SCTV_01,9/4/2020 15:30,67,33.720638,-117.416614
SCTV_01,9/4/2020 15:45,67,33.720638,-117.416614
SCTV_01,9/4/2020 16:00,67,33.720638,-117.416614
SCTV_01,9/4/2020 16:15,67,33.720638,-117.416614
SCTV_01,9/4/2020 16:30,67,33.720638,-117.416614
SCTV_01,9/4/2020 16:45,67,33.720638,-117.416614
SCTV_01,9/4/2020 17:00,67,33.720638,-117.416614
SCTV_01,9/4/2020 17:15,67,33.720638,-117.416614
SCTV_01,9/4/2020 17:30,67,33.720638,-117.416614
SCTV_01,9/4/2020 17:45,67,33.720638,-117.416614
SCTV_01,9/4/2020 18:00,67,33.720638,-117.416614
SCTV_01,9/4/2020 18:15,67,33.720638,-117.416614
SCTV_01,9/4/2020 18:30,67,33.720638,-117.416614
SCTV_01,9/4/2020 18:45,67,33.720638,-117.416614
